Sentence,Word_Count,Sentence_Length,Char_Count,DLP,Dot_Load_Ratio,OVL,Similar_Shape_Density,PSC_Density,Lexical_Difficulty,Homograph_Risk,Avg_Morphological_Complexity,Domain,Text_Class,Quadrant,Readability_Level_19,DLI,DLI_10
احتضنت الأم ابنتها وراحت تشرح لها وهي مبتسمة: البيض قد فقس اليوم وخرجت منه كتاكيت ملونة جميلة، ,19,76,78,0.43,0.71,0.0,0.51,0.25,1.59,0.12,0.65,Arts & Humanities,Foundational,High BAREC / High DLI,11,8,3.6
لكن دجاجتنا الطيبة لن تسمح لها بالخروج اليوم، فهي تحتضنها بجناحيها، تنظفها وتدفئها ,15,68,70,0.44,0.6,0.0,0.54,0.25,1.5,0.08,1.0,Arts & Humanities,Foundational,Low BAREC / High DLI,10,6,2.7
وفي الغد إن شاء الله، ستخرج الكتاكيت وراءها، تأكل، وتشرب، وتمرح.,16,49,54,0.33,0.57,0.0,0.47,0.2,1.77,0.18,0.64,Arts & Humanities,Foundational,Low BAREC / High DLI,8,7,3.2
كانت الأم تعلم سبب حيرة (حنان)، ففي زيارتها الأخيرة لبيت خالتها أخذت منها ثلاث بيضات، وضعتها وسط بيض دجاجتهم، كي يصبح عندها دجاجة سوداء مثل دجاجة خالتها.,33,121,127,0.45,0.69,0.0,0.57,0.25,1.57,0.22,0.48,Arts & Humanities,Foundational,High BAREC / High DLI,12,7,3.2
في اليوم التالي، استيقظت (حنان) مع شروق الشمس، وخرجت إلى حوش الدار لتلتقي مع كتكوتها الأسود، ,21,72,77,0.35,0.65,0.0,0.51,0.18,1.44,0.06,0.5,Arts & Humanities,Foundational,Low BAREC / Low DLI,10,5,2.3
وجلست بالقرب منه تصفق له وهو يلهو مع أشقائه ويلتقط بعض حبيبات الرمل وكأنه يعرف أن الرمل ضروري جدًا للطيور حديثة الفقس، إذ يساعد على تقوية حويصلاتها، ويجعلها قادرة، فيما بعد، على هضم الحبوب الصلبة.,40,156,161,0.35,0.56,0.01,0.53,0.2,1.79,0.17,0.57,Arts & Humanities,Foundational,High BAREC / High DLI,12,7,3.2
"قالت (حنان) وهي تحجل برشاقة على ساق واحدة أمام أمها، ""غدًا سيكبر كتكوتي ويصبح ديكًا شجاعًا يدافع عن الدجاج ويحرسه، أو دجاجة طيبة مثل دجاجة خالتي"".",33,111,118,0.39,0.64,0.03,0.56,0.27,1.58,0.15,0.46,Arts & Humanities,Foundational,High BAREC / High DLI,13,8,3.6
حكايات وطرائف,2,12,12,0.25,0.42,0.0,0.5,0.17,3.0,0.0,0.5,Arts & Humanities,Foundational,Low BAREC / Low DLI,7,5,2.3
السقف والنخل,2,11,11,0.36,0.45,0.0,0.45,0.09,1.0,0.0,1.5,Arts & Humanities,Foundational,Low BAREC / Low DLI,3,5,2.3
سيناريو: طارق سعد,4,14,15,0.29,0.5,0.0,0.79,0.07,2.33,0.33,0.0,Arts & Humanities,Foundational,High BAREC / Low DLI,12,5,2.3
رسوم: خالد عبد العزيز,5,17,18,0.29,0.35,0.0,0.65,0.24,1.0,0.25,0.25,Arts & Humanities,Foundational,Low BAREC / Low DLI,7,4,1.8
كان القاضي أياس بن معاوية من أذكى القضاة في التاريخ الإسلامي وهو يخبرنا في هذه الحكاية عن الرجل الوحيد الذي غلبه.,22,92,93,0.39,0.58,0.0,0.47,0.2,1.67,0.14,0.48,Arts & Humanities,Foundational,High BAREC / High DLI,12,7,3.2
في ذلك اليوم جاء رجل يزعم ملكيته لبستان نخل وكان معه شاهد إثبات,13,51,51,0.39,0.61,0.0,0.49,0.29,1.85,0.23,0.38,Arts & Humanities,Foundational,High BAREC / High DLI,12,7,3.2
هل تشهد بأن هذا الرجل هو صاحب بستان النخل؟,10,33,34,0.36,0.48,0.0,0.52,0.21,1.94,0.33,0.33,Arts & Humanities,Foundational,Low BAREC / High DLI,7,6,2.7
نعم يا حضرة القاضي,4,15,15,0.47,0.73,0.0,0.6,0.2,1.75,0.25,0.25,Arts & Humanities,Foundational,Low BAREC / High DLI,9,7,3.2
كم نخلة في ذلك البستان؟,6,18,19,0.5,0.67,0.0,0.5,0.22,1.5,0.2,0.2,Arts & Humanities,Foundational,High BAREC / Low DLI,12,5,2.3
لا أعرف بالضبط,3,12,12,0.33,0.33,0.0,0.58,0.08,1.67,0.0,0.67,Arts & Humanities,Foundational,Low BAREC / Low DLI,8,4,1.8
وكيف تشهد بما لا تعرف؟,6,17,18,0.41,0.71,0.0,0.59,0.24,2.0,0.2,0.4,Arts & Humanities,Foundational,Low BAREC / High DLI,10,7,3.2
منذ متى وأنت تقضي بين الناس في هذا المجلس يا حضرة القاضي؟,13,45,46,0.51,0.76,0.0,0.58,0.13,2.25,0.25,0.33,Arts & Humanities,Foundational,Low BAREC / High DLI,9,7,3.2
منذ عشرين عامًا,3,12,12,0.42,0.67,0.08,0.67,0.33,2.0,0.33,0.0,Arts & Humanities,Foundational,High BAREC / High DLI,12,9,4.1
فكم قطعة خشب في هذا السقف؟,7,20,21,0.55,0.85,0.0,0.65,0.25,1.33,0.33,0.33,Arts & Humanities,Foundational,Low BAREC / High DLI,8,9,4.1
لا أعرف..,4,6,8,0.17,0.17,0.0,0.5,0.17,1.0,0.0,0.0,Arts & Humanities,Foundational,Low BAREC / Low DLI,8,2,0.9
وآخذ بشهادتك في حق هذا الرجل,6,23,23,0.43,0.65,0.0,0.57,0.26,1.67,0.0,0.67,Arts & Humanities,Foundational,Low BAREC / High DLI,8,7,3.2
قف!,2,2,3,1.0,1.5,0.0,1.0,0.0,5.0,0.0,0.0,Arts & Humanities,Foundational,Low BAREC / High DLI,7,11,5.0
الإشارة خضراء,2,12,12,0.33,0.58,0.0,0.42,0.08,2.0,0.0,0.5,Arts & Humanities,Foundational,Low BAREC / Low DLI,3,5,2.3
سيناريو: عمرو حسني            ,4,15,16,0.33,0.53,0.0,0.73,0.2,2.33,0.0,0.0,Arts & Humanities,Foundational,High BAREC / High DLI,12,6,2.7
رسوم: هشام رحمة,4,12,13,0.17,0.42,0.0,0.42,0.42,2.0,0.0,0.33,Arts & Humanities,Foundational,Low BAREC / Low DLI,7,4,1.8
شهاب رائد فضاء من الزمن الحالي، يدخل المكوك الذي كان يستقله في ثقب أسود يجتذبه ويلقي به على كوكب أعاجيبو الذي يشبه كوكب الأرض في كل شيء ,28,108,109,0.42,0.66,0.0,0.51,0.2,1.98,0.11,0.3,Arts & Humanities,Foundational,High BAREC / High DLI,14,6,2.7
ولكن تفاصيل الحياة على سطحه تختلف تمامًا عما يعتاد عليه البشر.,12,50,51,0.32,0.56,0.02,0.52,0.26,1.68,0.09,0.55,Arts & Humanities,Foundational,Low BAREC / High DLI,10,7,3.2
حتى ألوان عبور المشاة وتوقف السيارات معكوسة في هذا الكوكب العجيب؟,12,54,55,0.33,0.54,0.0,0.44,0.2,1.82,0.0,0.55,Arts & Humanities,Foundational,Low BAREC / High DLI,8,6,2.7
لماذا لم تنتظر حتى يضيء اللون الأحمر ويسمح بعبور المشاة أيها الأحمق؟,13,56,57,0.3,0.5,0.0,0.45,0.21,1.79,0.08,0.5,Arts & Humanities,Foundational,Low BAREC / Low DLI,9,4,1.8
لا يمكنني الاعتياد على هذا الوضع المعكوس وربما أفقد حياتي بسببه على هذا الكوكب,14,65,65,0.29,0.42,0.0,0.46,0.25,1.79,0.14,0.64,Arts & Humanities,Foundational,Low BAREC / Low DLI,10,5,2.3
ربما يكون لديهم ما أريد,5,19,19,0.26,0.42,0.0,0.47,0.26,2.0,0.0,0.2,Arts & Humanities,Foundational,Low BAREC / Low DLI,10,4,1.8
نعم لدينا نظارة تجعل من يرتديها يرى الأحمر أخضر والأخضر أحمر,11,50,50,0.34,0.48,0.0,0.58,0.24,1.82,0.27,0.45,Arts & Humanities,Foundational,Low BAREC / High DLI,10,6,2.7
سأشتري واحدة,2,11,11,0.36,0.82,0.0,0.64,0.09,3.0,0.0,0.5,Arts & Humanities,Foundational,Low BAREC / High DLI,8,8,3.6
هكذا لن أعرض نفسي للخطر بعد الآن,7,26,26,0.35,0.38,0.0,0.62,0.19,2.36,0.14,0.57,Arts & Humanities,Foundational,Low BAREC / High DLI,8,7,3.2
هذه العدسات تجعلني الآن مطمئنًا إلى أنني أعبر الإشارة وهي مفتوحة للمشاة,12,59,59,0.34,0.56,0.02,0.44,0.2,2.08,0.0,0.67,Arts & Humanities,Foundational,Low BAREC / High DLI,10,6,2.7
حمدًا لله على سلامتك,4,16,16,0.06,0.12,0.06,0.31,0.38,1.88,0.25,0.5,Arts & Humanities,Foundational,Low BAREC / Low DLI,8,5,2.3
أجرينا لك جراحة بعد أن صدمتك سيارة مسرعة,8,33,33,0.33,0.52,0.0,0.61,0.27,2.19,0.25,0.25,Arts & Humanities,Foundational,Low BAREC / High DLI,10,8,3.6
أنا واثق أن الإشارة الحمراء كانت تسمح بعبور المشاة لأنني كنت أرتدي نظارتي التي تغير الألوان,16,76,76,0.39,0.67,0.0,0.51,0.12,1.81,0.19,0.44,Arts & Humanities,Foundational,High BAREC / High DLI,11,6,2.7
لا أفهمك ولكنك لم تخطئ..,7,18,20,0.22,0.28,0.0,0.28,0.39,1.5,0.2,0.6,Arts & Humanities,Foundational,Low BAREC / Low DLI,8,4,1.8
لقد صدمتك سيارة كسر سائقها المصاب بعمى الألوان إشارة المرور,10,50,50,0.2,0.36,0.0,0.42,0.16,1.6,0.1,0.8,Arts & Humanities,Foundational,Low BAREC / Low DLI,10,5,2.3
يا لسوء الحظ,3,10,10,0.2,0.3,0.0,0.4,0.1,2.0,0.0,0.67,Arts & Humanities,Foundational,Low BAREC / Low DLI,9,2,0.9
الطحان والحمار… والكلمة السرية,5,26,27,0.15,0.27,0.0,0.31,0.19,1.5,0.0,1.5,Arts & Humanities,Foundational,Low BAREC / Low DLI,5,4,1.8
تكتبها: افتتان ممتاز,4,17,18,0.53,0.82,0.0,0.53,0.24,1.5,0.0,0.33,Arts & Humanities,Foundational,Low BAREC / High DLI,5,6,2.7
يرسمها: محمد توفيق,4,15,16,0.33,0.6,0.0,0.6,0.33,1.33,0.0,0.33,Arts & Humanities,Foundational,Low BAREC / Low DLI,5,5,2.3
كان مسعود يملك طاحونة وحمارًا، وكان الرجل محبوبًا من أهل قريته لأنه كان نشيطًا يتقن عمله ,17,69,70,0.3,0.46,0.04,0.46,0.29,1.47,0.12,0.38,Arts & Humanities,Foundational,Low BAREC / Low DLI,10,4,1.8
فلا يخلط الحبوب ببعضها لأنه كان ينظف الطاحونة بعد طحن كل نوع من الحبوب، مثل القمح والشعير والذرة، ,20,78,80,0.36,0.49,0.0,0.53,0.22,1.22,0.28,0.67,Arts & Humanities,Foundational,High BAREC / Low DLI,11,5,2.3
كما أنه لم يكن يبالغ في الأجر الذي يطلبه منهم.,11,36,37,0.39,0.53,0.0,0.44,0.31,2.05,0.1,0.4,Arts & Humanities,Foundational,Low BAREC / High DLI,10,6,2.7
ذات يوم ذهب مسعود الى الحظيرة ليصحب حماره إلى الطاحونة، لكن الحمار ظل واقفًا لا يتحرك من مكانه، ,20,75,77,0.27,0.39,0.01,0.44,0.25,1.53,0.22,0.33,Arts & Humanities,Foundational,High BAREC / Low DLI,11,4,1.8
فنظر إليه الرجل بقلق وقال له برفق: ماذا بك يا حماري العزيز؟,14,46,48,0.41,0.59,0.0,0.54,0.17,1.33,0.0,0.75,Arts & Humanities,Foundational,Low BAREC / High DLI,9,6,2.7
هل أنت مريض؟,4,9,10,0.44,0.67,0.0,0.56,0.22,1.83,0.67,0.0,Arts & Humanities,Foundational,Low BAREC / High DLI,7,7,3.2
كلا؟,2,3,4,0.0,0.0,0.0,0.0,0.33,1.0,1.0,0.0,Arts & Humanities,Foundational,Low BAREC / Low DLI,7,4,1.8
لو كنت مريضًا لما أكلت كل الطعام الذي وضعته لك بالأمس، هيا، هيا.,16,48,51,0.25,0.4,0.02,0.35,0.27,1.65,0.15,0.46,Arts & Humanities,Foundational,High BAREC / Low DLI,12,5,2.3
لا تتدلل، إن عملًا كثيرًا ينتظرنا.,8,25,27,0.4,0.68,0.08,0.56,0.12,1.5,0.17,0.17,Arts & Humanities,Foundational,Low BAREC / Low DLI,10,4,1.8
"لكن الحمار لم يتحرك من مكانه، فأخذ صاحبه يربت على رأسه بحنان ويقول: ""هيا، هيا يا صبور.",22,65,70,0.32,0.46,0.0,0.52,0.28,1.44,0.24,0.41,Arts & Humanities,Foundational,High BAREC / High DLI,12,6,2.7
في تلك اللحظة فتح الحمار فمه وأخذته نوبة من الزغطة جعلته يسقط قطعًا من النقود الفضية من فمه.,19,73,74,0.44,0.63,0.01,0.53,0.26,1.61,0.28,0.56,Arts & Humanities,Foundational,High BAREC / High DLI,12,8,3.6
انتابت مسعود دهشة ممزوجة بالفرحة، ,6,28,29,0.43,0.68,0.0,0.54,0.25,2.4,0.0,0.4,Arts & Humanities,Foundational,Low BAREC / Low DLI,9,5,2.3
"ولما رأى الحمار والدموع تكاد تسقط من عينيه من شدة الإجهاد قال له: ""استرح..",18,57,61,0.23,0.4,0.0,0.46,0.25,2.11,0.14,0.5,Arts & Humanities,Foundational,High BAREC / Low DLI,13,5,2.3
استرح..,3,5,7,0.2,0.4,0.0,0.8,0.2,2.5,0.0,0.0,Arts & Humanities,Foundational,Low BAREC / Low DLI,7,4,1.8
"سوف أحضر لك بعض الماء"".",7,17,19,0.24,0.24,0.0,0.47,0.24,1.4,0.4,0.6,Arts & Humanities,Foundational,Low BAREC / Low DLI,8,5,2.3
أدرك مسعود أن حماره ليس حمارًا عاديًا، بل حمار سحري رائع، ,13,43,45,0.12,0.19,0.05,0.56,0.3,1.91,0.36,0.09,Arts & Humanities,Foundational,High BAREC / High DLI,12,6,2.7
وحمد الله كثيرًا لأنه أصبح قادرًا على أن يجلب لنفسه كل ما يشتهيه.,14,50,51,0.3,0.5,0.04,0.48,0.26,1.88,0.15,0.38,Arts & Humanities,Foundational,Low BAREC / Low DLI,10,5,2.3
وكلما شعر بحاجته إلى النقود يغلق على نفسه وعلى حماره باب الحظيرة ثم يربت على رأس الحمار ويقول برفق الكلمة السرية: هيا، هيا يا صبور.,28,104,107,0.31,0.51,0.0,0.49,0.21,1.64,0.2,0.52,Arts & Humanities,Foundational,High BAREC / High DLI,13,7,3.2
وسرعان ما يمتلئ كيسه بالنقود فيعطي الفقراء بعضًا منها ويحتفظ بالباقي لشراء لوازمه.,14,68,69,0.37,0.56,0.01,0.53,0.18,2.38,0.0,0.92,Arts & Humanities,Foundational,High BAREC / High DLI,12,7,3.2
ذات يوم ركب مسعود حماره وذهب الى القرية المجاورة لشراء بعض قطع الغيار للطاحونة، ,15,65,66,0.29,0.46,0.0,0.48,0.22,2.04,0.21,0.64,Arts & Humanities,Foundational,Low BAREC / Low DLI,10,5,2.3
وفي منتصف الطريق وقف مسعود أمام فندق صغير ليتناول بعض الطعام ويستريح قليلًا ويريح حماره أيضًا.,17,76,77,0.37,0.59,0.03,0.62,0.18,1.53,0.12,0.5,Arts & Humanities,Foundational,High BAREC / High DLI,11,8,3.6
في مطعم الفندق طلب مسعود أحسن أنواع الطعام والعصير، ,10,42,43,0.21,0.29,0.0,0.57,0.24,1.17,0.11,0.44,Arts & Humanities,Foundational,Low BAREC / Low DLI,7,4,1.8
ولما رأى صاحب الفندق هذا الزبون الغني الذي يطلب أنواعًا غالية من الطعام والعصائر انتهز الفرصة وأعماه الطمع وقدم إلى مسعود فاتورة حساب مضاعفة أكثر بكثير مما ينبغي دفعه.,30,137,138,0.31,0.45,0.01,0.49,0.21,2.1,0.07,0.45,Arts & Humanities,Foundational,High BAREC / Low DLI,12,5,2.3
ولم يعترض الشاب ولم يقل شيئًا، ,7,23,24,0.39,0.78,0.04,0.48,0.13,2.17,0.0,0.5,Arts & Humanities,Foundational,Low BAREC / High DLI,8,6,2.7
لكنه حينما أحصى ما معه من النقود، وجد أنها لن تكفي لتسديد فاتورة الحساب، ,16,57,59,0.32,0.46,0.0,0.51,0.25,2.18,0.07,0.43,Arts & Humanities,Foundational,Low BAREC / Low DLI,10,5,2.3
"فاستأذن من صاحب الفندق وذهب إلى الحظيرة حيث يستريح حماره وقال له الكلمة السرية: ""هيا، هيا يا صبور.",22,77,81,0.35,0.57,0.0,0.52,0.18,1.22,0.11,0.5,Arts & Humanities,Foundational,High BAREC / High DLI,12,6,2.7
وحصل على ما يريد من نقود.,7,19,20,0.26,0.42,0.0,0.58,0.21,1.5,0.33,0.17,Arts & Humanities,Foundational,Low BAREC / Low DLI,10,4,1.8
كان صاحب الفندق قد تبع الشاب من دون أن يشعر ليتجسس عليه..,14,44,46,0.43,0.68,0.0,0.68,0.18,1.58,0.5,0.33,Arts & Humanities,Foundational,Low BAREC / High DLI,10,8,3.6
وأدرك كل شيء في الحال..,7,17,19,0.24,0.47,0.0,0.41,0.18,1.4,0.0,0.4,Arts & Humanities,Foundational,Low BAREC / Low DLI,8,2,0.9
وقال لنفسه: هذا الحمار منجم فضة حقيقي منجم متنقل، هاها، ,13,43,46,0.42,0.6,0.0,0.49,0.33,2.1,0.2,0.4,Arts & Humanities,Foundational,High BAREC / High DLI,12,7,3.2
لا بد أن أحصل عليه.,6,14,15,0.21,0.29,0.0,0.5,0.21,1.8,0.4,0.2,Arts & Humanities,Foundational,Low BAREC / Low DLI,10,5,2.3
في الحال.. وقبل أن يغادر مسعود الفندق كان الرجل الطماع قد وضع حماره مكان حمار مسعود الذي لم يدرك شيئًا لأن الحمارين كانا متشابهين تمامًا.,28,108,111,0.28,0.43,0.02,0.49,0.25,1.86,0.2,0.28,Arts & Humanities,Foundational,High BAREC / Low DLI,12,4,1.8
بعد أن رجع مسعود إلى داره أراد أن يحصل على نقود من حماره كالمعتاد لأن كل ما معه نفد في شراء قطع غيار الطاحونة وبعض الثياب، ,27,96,97,0.26,0.39,0.0,0.54,0.25,1.67,0.27,0.35,Arts & Humanities,Foundational,High BAREC / Low DLI,12,4,1.8
"ولما قال الكلمة السرية: ""هيا، هيا يا صبور.",12,31,35,0.26,0.48,0.0,0.32,0.16,1.62,0.0,0.38,Arts & Humanities,Foundational,High BAREC / Low DLI,12,2,0.9
"هيلا هوب"" انعقد لسانه من فرط الدهشة..",10,28,31,0.32,0.5,0.0,0.5,0.21,2.79,0.29,0.29,Arts & Humanities,Foundational,Low BAREC / High DLI,9,6,2.7
فقد كانت قطع النقود ذهبية، ,6,21,22,0.52,0.81,0.0,0.67,0.14,2.2,0.4,0.4,Arts & Humanities,Foundational,Low BAREC / High DLI,10,9,4.1
ولما أراد أن يتحقق مما يرى، أعاد قول الكلمة السرية مرة أخرى، ومرة أخرى سقطت من فم الحمار قطع ذهبية!,23,77,80,0.3,0.51,0.0,0.47,0.22,1.95,0.15,0.3,Arts & Humanities,Foundational,High BAREC / Low DLI,13,5,2.3
وفي الواقع أن حمار صاحب الفندق كان أثمن كثيرًا من حمار صاحب الطاحونة، ,14,55,56,0.31,0.47,0.02,0.53,0.22,1.46,0.46,0.31,Arts & Humanities,Foundational,Low BAREC / Low DLI,10,5,2.3
لكن صاحب الفندق لم يفكر أبدًا طول حياته أن يقول لحماره الكلمة الطيبة التي لها مفعول السحر.,18,72,73,0.28,0.43,0.01,0.44,0.21,1.56,0.29,0.47,Arts & Humanities,Foundational,High BAREC / Low DLI,11,5,2.3
ترى هل نعرف نحن، أو بعضنا، الكلمة الطيبة التي تخرج من قلب صادق صاف ليحصل على أثمن ما يملكه الآخرون عن طيب خاطر وصفاء قلب؟,28,94,97,0.37,0.53,0.0,0.55,0.2,1.96,0.44,0.32,Arts & Humanities,Foundational,High BAREC / High DLI,13,7,3.2
هؤلاء كتبوا ورسموا لك,4,18,18,0.11,0.17,0.0,0.22,0.22,1.0,0.0,0.5,Arts & Humanities,Foundational,Low BAREC / Low DLI,6,2,0.9
إعداد: أحمد خالد توفيق,5,18,19,0.28,0.44,0.0,0.61,0.22,1.75,0.0,0.0,Arts & Humanities,Foundational,Low BAREC / Low DLI,8,4,1.8
رسوم: خالد عبد العزيز,5,17,18,0.29,0.35,0.0,0.65,0.24,1.0,0.25,0.25,Arts & Humanities,Foundational,Low BAREC / Low DLI,7,4,1.8
زكية تستعرض معنا أرفف المكتبة، لتعرفنا على هؤلاء الذين كتبوا أو رسموا للطفل، في العالم العربي والعالم الغربي.,21,89,92,0.31,0.45,0.0,0.47,0.19,1.72,0.11,0.67,Arts & Humanities,Foundational,High BAREC / High DLI,11,6,2.7
لست صغيرًا بدرجة تسمح لي بأن أعرف كل شيء!,10,31,32,0.42,0.68,0.03,0.68,0.19,1.56,0.11,0.33,Arts & Humanities,Foundational,Low BAREC / High DLI,10,7,3.2
اللحظة التي تشكك فيها في قدرتك على الطيران، هي اللحظة التي تفقد فيها تلك القدرة نهائيًا.,18,70,72,0.41,0.73,0.01,0.51,0.16,1.75,0.19,0.5,Arts & Humanities,Foundational,Low BAREC / High DLI,10,8,3.6
ج. م. باري,5,6,8,0.5,0.67,0.0,0.67,0.33,3.0,0.0,0.0,Arts & Humanities,Foundational,Low BAREC / High DLI,7,8,3.6
في مكتبة زكية، هناك نسخ باللغات: الإنجليزية، والفرنسية، والعربية، ومجموعة من أفلام الفيديو الخاصة بديزني.,21,85,91,0.48,0.71,0.0,0.51,0.19,1.4,0.13,0.8,Arts & Humanities,Foundational,Low BAREC / High DLI,10,8,3.6
على الغلاف ترى غالبًا ذلك الصبي الذي يحلق في الهواء مع رفاقه، ويحارب القراصنة، وتحوم حوله جنية صغيرة..,22,80,84,0.36,0.55,0.01,0.5,0.2,2.19,0.06,0.44,Arts & Humanities,Foundational,High BAREC / High DLI,11,6,2.7
إنه: بيتر بان.,5,10,12,0.6,0.8,0.0,0.7,0.1,2.5,0.0,0.67,Arts & Humanities,Foundational,Low BAREC / High DLI,10,8,3.6
قالت زكية: هذه الشخصية حفرت في ذهن الأطفال عبر العالم، وإن كانت لم تترك البصمات نفسها في ذهن الطفل العربي، باستثناء من رأوا فيلم ديزني الجميل عن شخصية بيتر بان.,34,127,131,0.45,0.68,0.0,0.57,0.17,1.77,0.13,0.4,Arts & Humanities,Foundational,High BAREC / High DLI,12,6,2.7
جيمس ماتيو باري، الكاتب الأسكتلندي، ابتكر هذه الشخصية عام 1902.,13,47,54,0.38,0.64,0.0,0.51,0.23,2.72,0.11,0.33,Arts & Humanities,Foundational,High BAREC / High DLI,12,7,3.2
الصبي الذي حلم بأن يطير وألا يشيخ أبدًا فتحقق حلمه.,11,40,41,0.42,0.7,0.03,0.6,0.17,1.85,0.1,0.6,Arts & Humanities,Foundational,Low BAREC / High DLI,10,6,2.7
يسافر إلى أرض الأحلام، ويلحق به رفاقه (الصبية المفقودين).,13,45,49,0.33,0.51,0.0,0.49,0.13,1.78,0.11,0.67,Arts & Humanities,Foundational,High BAREC / High DLI,11,6,2.7
هناك يخوض مغامرات مع القراصنة والتماسيح والهنود الحمر وجنيات الغابة.,11,58,59,0.33,0.48,0.0,0.45,0.26,2.1,0.0,0.8,Arts & Humanities,Foundational,High BAREC / High DLI,11,7,3.2
عشاق بيتر بان يعرفون القرصان الشرير كابتن هوك، الذي يستخدم خطافًا بدلًا من يده اليمنى، ألد أعداء بيتر بان.,22,83,86,0.41,0.63,0.02,0.61,0.14,2.05,0.05,0.32,Arts & Humanities,Foundational,High BAREC / Low DLI,12,5,2.3
ومعه مساعده الأبله سميدي.,5,21,22,0.14,0.24,0.0,0.43,0.38,2.0,0.0,1.25,Arts & Humanities,Foundational,Low BAREC / High DLI,8,7,3.2
هناك الجنية الصغيرة التي تلاحق بيتر بان دائمًا، اسمها تنكر بيل، ,13,50,52,0.42,0.66,0.02,0.52,0.18,2.36,0.09,0.36,Arts & Humanities,Foundational,Low BAREC / Low DLI,10,5,2.3
تحبه بشدة وتغار عليه من صديقته وندي التي تبلغ من العمر 13 عامًا.,14,48,51,0.42,0.69,0.02,0.6,0.27,2.0,0.17,0.58,Arts & Humanities,Foundational,High BAREC / High DLI,12,8,3.6
وفجأة تكتشف أنه حقيقي، ويحملها هي وأخويها إلى أرض الأحلام.,12,47,49,0.36,0.62,0.0,0.43,0.26,1.25,0.1,0.7,Arts & Humanities,Foundational,Low BAREC / High DLI,10,6,2.7
بعد كتابة القصة صار لفظ Neverland يعني أرض الأحلام دائمًا، ,11,38,48,0.32,0.47,0.03,0.5,0.16,1.67,0.33,0.22,Arts & Humanities,Foundational,Low BAREC / High DLI,10,6,2.7
كما أن اسم وندي انتشر لدى البريطانيين، وكان غير مستعمل، إلا فيما ندر، قبل القصة.,19,62,66,0.37,0.58,0.0,0.55,0.15,2.33,0.33,0.27,Arts & Humanities,Foundational,High BAREC / High DLI,12,6,2.7
ولد ج. م. باري عام 1860 في اسكتلندا، وكان كاتبًا مسرحيًا.,15,37,45,0.3,0.43,0.05,0.51,0.24,2.2,0.2,0.1,Arts & Humanities,Foundational,Low BAREC / Low DLI,10,4,1.8
لكن ما يذكره الناس من كتاباته هو بيتر بان.,10,33,34,0.39,0.55,0.0,0.48,0.24,1.72,0.33,0.44,Arts & Humanities,Foundational,Low BAREC / High DLI,10,8,3.6
انتقل إلى لندن في شبابه ليعمل في عالم المسرح، ,10,36,37,0.36,0.56,0.0,0.53,0.19,1.33,0.11,0.33,Arts & Humanities,Foundational,High BAREC / Low DLI,11,5,2.3
"ثم كتب مجموعة قصصية اسمها ""الطائر الأبيض الصغير""، ضمنها قصة عن صبي تمنى ألا يكبر أبدًا.",20,67,71,0.37,0.58,0.01,0.52,0.21,1.5,0.25,0.44,Arts & Humanities,Foundational,High BAREC / High DLI,11,6,2.7
وهكذا جاءت أفلام ديزني لتجعل كل أطفال العالم يعشقون هذه الشخصية.,12,53,54,0.38,0.6,0.0,0.47,0.25,1.27,0.0,0.36,Arts & Humanities,Foundational,Low BAREC / Low DLI,9,4,1.8
الرياضة,1,7,7,0.43,0.71,0.0,0.43,0.0,1.0,0.0,1.0,Arts & Humanities,Foundational,Low BAREC / High DLI,5,6,2.7
إعداد: خالد فؤاد,4,13,14,0.15,0.15,0.0,0.54,0.15,1.67,0.0,0.0,Arts & Humanities,Foundational,High BAREC / Low DLI,12,2,0.9
كرة الصالات أو كرة القدم الخماسية,6,28,28,0.25,0.46,0.0,0.32,0.18,1.42,0.17,0.5,Arts & Humanities,Foundational,Low BAREC / Low DLI,8,3,1.4
كرة القدم الخماسية (Futsal).. وتعرف بكرة القدم داخل الصالات، لعبة رياضية مشابهة لكرة القدم المعروفة، لكنها تقام داخل صالات رياضية معدة لهذه الرياضة.,30,113,126,0.35,0.58,0.0,0.43,0.2,1.41,0.18,0.5,Arts & Humanities,Foundational,High BAREC / High DLI,12,6,2.7
هذه اللعبة معترف بها من قبل الفيفا، وتقام بطولة العالم لكرة القدم داخل الصالات منذ العام 1989.,19,72,78,0.31,0.44,0.0,0.4,0.22,1.88,0.25,0.56,Arts & Humanities,Foundational,High BAREC / Low DLI,11,5,2.3
يتنافس في كرة الصالات فريقان، كل منهما من خمسة لاعبين، من بينهم حارس المرمى، بالإضافة إلى لاعبين احتياطيين إضافيين اثنين.,24,98,102,0.45,0.66,0.0,0.55,0.17,1.45,0.1,0.3,Arts & Humanities,Foundational,High BAREC / Low DLI,11,4,1.8
يتم تخطيط الصالة مثل لعبة كرة القدم.,8,29,30,0.38,0.72,0.0,0.48,0.21,1.29,0.43,0.29,Arts & Humanities,Foundational,High BAREC / High DLI,12,7,3.2
تكون الكرة المستعملة في اللعبة أثقل وأصغر من كرة القدم العادية، لذا يسمح ذلك بتحكم أكبر مثل التهديف والتمرير.,21,89,91,0.33,0.56,0.0,0.46,0.24,1.79,0.11,0.53,Arts & Humanities,Foundational,High BAREC / High DLI,12,7,3.2
